City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Soria,ES,37.85,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo
613,Korla,CN,25.86,overcast clouds,41.7597,86.1469,Gulisitan Hotel
615,Tabas,IR,46.18,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
618,Jishou,CN,49.19,clear sky,28.3167,109.7167,7 Days Inn
620,Maple Creek,CA,28.45,snow,49.9168,-109.4848,Willowbend Campground & Cabins
621,Karak,JO,48.92,overcast clouds,31.1667,35.75,Cairwan Hotel
622,Brunico,IT,32.11,light snow,46.7958,11.9364,Hotel Post
627,Harnosand,SE,21.99,broken clouds,62.6323,17.9379,First Hotel Stadt
628,Semirom,IR,35.67,clear sky,31.4167,51.5667,Motel Dena
630,Dauphin,CA,23.14,clear sky,51.1494,-100.0502,Canway Inn & Suites
637,Den Helder,NL,43.07,light intensity drizzle,52.9599,4.7593,Hotel Den Helder
638,Vanderhoof,CA,25.39,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
642,Shache,CN,25.68,few clouds,38.4167,77.2406,Delong Hotel
649,Kostino,RU,23.34,overcast clouds,58.9097,53.2691,"Кафе-гостиница ""Привал"" бесплатный WiFi, номер 500 руб."
650,Hamilton,US,47.03,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
653,Anshun,CN,48.11,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
667,Palmer,US,37.72,scattered clouds,42.1584,-72.3287,Wedgewood Motel
669,Taft,IR,37.35,clear sky,31.7471,54.2088,بوم گردی حاجی زینل تفت
672,Margate,GB,42.89,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
678,Abatskoye,RU,32.81,broken clouds,56.2875,70.4555,Gostinitsa Abatskaya
681,Haimen,CN,48.09,clear sky,23.1935,116.6142,Jinghao Business Hotel
