City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
106,Padang,-0.9492,100.3543,77.05,84,100,2.55,ID,2021-12-05 01:59:30,overcast clouds
107,Srednekolymsk,67.45,153.6833,-44.07,100,57,1.45,RU,2021-12-05 01:59:30,broken clouds
108,Provideniya,64.3833,-173.3,27.39,97,100,16.02,RU,2021-12-05 01:59:30,snow
109,Prescott,34.54,-112.4685,52.27,38,0,1.99,US,2021-12-05 01:56:54,clear sky
110,De Aar,-30.6497,24.0123,61.99,86,100,19.22,ZA,2021-12-05 01:59:31,overcast clouds
111,Avarua,-21.2078,-159.775,80.65,83,75,5.75,CK,2021-12-05 01:59:31,broken clouds
112,Vitoria Da Conquista,-14.8661,-40.8394,62.42,98,17,3.89,BR,2021-12-05 01:59:32,few clouds
113,Kaitangata,-46.2817,169.8464,51.12,95,100,11.16,NZ,2021-12-05 01:59:32,overcast clouds
114,Pekalongan,-6.8886,109.6753,84.02,74,98,10.27,ID,2021-12-05 01:59:33,overcast clouds
115,Krasnyy Chikoy,50.3643,108.7512,21.0,93,100,3.11,RU,2021-12-05 01:59:33,light snow
116,Constitucion,-35.3333,-72.4167,60.42,62,0,9.82,CL,2021-12-05 01:59:33,clear sky
117,Clyde River,70.4692,-68.5914,14.23,85,100,41.43,CA,2021-12-05 01:59:34,light snow
118,Poum,-20.2333,164.0167,81.41,72,2,7.4,NC,2021-12-05 01:59:34,clear sky
119,Pangody,65.85,74.4859,-31.25,100,71,0.96,RU,2021-12-05 01:59:35,broken clouds
120,Arraial Do Cabo,-22.9661,-42.0278,72.64,82,3,10.36,BR,2021-12-05 01:54:51,clear sky
121,Yellowknife,62.456,-114.3525,-24.59,93,1,5.75,CA,2021-12-05 01:58:36,clear sky
122,Itarema,-2.9248,-39.9167,79.93,83,65,11.99,BR,2021-12-05 01:59:37,broken clouds
123,Saint-Malo,48.5,-1.8333,42.75,3,100,18.19,FR,2021-12-05 01:59:37,light rain
124,Waipawa,-41.4122,175.5153,68.63,57,53,13.94,NZ,2021-12-05 01:59:38,light rain
125,Whyalla,-33.0333,137.5833,67.89,60,79,10.36,AU,2021-12-05 01:59:38,broken clouds
126,Fortuna,40.5982,-124.1573,51.42,94,90,0.0,US,2021-12-05 01:59:39,overcast clouds
127,Okhotsk,59.3833,143.3,-12.28,87,100,11.74,RU,2021-12-05 01:59:39,overcast clouds
128,Sabla,12.7525,4.7077,71.69,18,20,10.02,NG,2021-12-05 01:59:40,few clouds
129,Yenagoa,4.9247,6.2642,77.68,88,100,4.52,NG,2021-12-05 01:59:40,overcast clouds
130,Pisco,-13.7,-76.2167,66.02,91,100,0.49,PE,2021-12-05 02:00:41,overcast clouds
131,Barrow,71.2906,-156.7887,17.62,67,75,21.85,US,2021-12-05 02:00:41,broken clouds
132,Cairns,-16.9167,145.7667,98.06,44,8,18.41,AU,2021-12-05 01:58:03,clear sky
133,Pacific Grove,36.6177,-121.9166,54.97,83,1,1.99,US,2021-12-05 02:00:42,clear sky
134,Cururupu,-1.8283,-44.8683,75.69,96,99,2.57,BR,2021-12-05 02:00:42,overcast clouds
135,Benavente,42.0025,-5.6783,42.89,77,9,6.26,ES,2021-12-05 02:00:43,clear sky
136,Temir,49.1414,57.13,26.6,79,35,7.52,KZ,2021-12-05 02:00:43,scattered clouds
137,Kruisfontein,-34.0033,24.7314,59.88,97,100,15.1,ZA,2021-12-05 02:00:44,light rain
138,Kropotkin,45.4375,40.5756,49.46,61,100,10.07,RU,2021-12-05 02:00:44,overcast clouds
139,Bhawanipatna,19.9,83.1667,65.17,96,100,2.86,IN,2021-12-05 02:00:44,overcast clouds
140,Nemuro,43.3236,145.575,35.28,53,21,19.71,JP,2021-12-05 02:00:45,few clouds
141,Kerema,-7.9631,145.7785,85.32,68,21,7.67,PG,2021-12-05 02:00:45,few clouds
142,Vostok,46.4856,135.8833,10.06,73,87,5.37,RU,2021-12-05 02:00:46,overcast clouds
143,Iqaluit,63.7506,-68.5145,7.12,85,100,33.15,CA,2021-12-05 02:00:46,overcast clouds
144,Acajutla,13.5928,-89.8275,80.6,69,16,6.44,SV,2021-12-05 02:00:47,few clouds
145,Sorland,67.667,12.6934,28.29,65,11,14.29,NO,2021-12-05 02:00:47,few clouds
146,Bindi,9.9167,-11.45,70.25,43,82,2.19,SL,2021-12-05 02:00:47,broken clouds
147,Roma,43.2128,-75.4557,39.06,86,90,13.8,US,2021-12-05 02:00:48,snow
148,Nishihara,26.1842,127.7558,69.08,43,40,12.66,JP,2021-12-05 02:00:48,scattered clouds
149,Dicabisagan,17.0818,122.4157,72.68,80,100,7.02,PH,2021-12-05 02:00:49,overcast clouds
150,Ostrovnoy,68.0531,39.5131,6.42,95,83,8.57,RU,2021-12-05 02:00:50,broken clouds
151,Sitka,57.0531,-135.33,30.09,86,75,4.61,US,2021-12-05 02:00:50,mist
152,Port Hardy,50.6996,-127.4199,37.76,64,42,14.81,CA,2021-12-05 02:00:51,scattered clouds
153,Lebu,-37.6167,-73.65,53.87,84,0,18.9,CL,2021-12-05 02:00:51,clear sky
154,Avera,33.194,-82.5271,60.71,80,96,4.83,US,2021-12-05 02:00:51,overcast clouds
155,Ilulissat,69.2167,-51.1,35.62,48,100,37.98,GL,2021-12-05 02:00:52,light rain
156,Nykoping,58.753,17.0079,22.86,93,0,8.05,SE,2021-12-05 02:00:52,clear sky
157,Bloomingdale,27.8936,-82.2404,66.06,85,1,0.0,US,2021-12-05 01:58:51,clear sky
158,La Primavera,5.4906,-70.4092,81.72,60,100,5.1,CO,2021-12-05 02:00:53,overcast clouds
159,Port Elizabeth,-33.918,25.5701,62.1,93,100,21.59,ZA,2021-12-05 02:00:15,light rain
160,Inhambane,-23.865,35.3833,76.84,89,0,10.22,MZ,2021-12-05 02:00:54,clear sky
161,Puerto Colombia,10.9878,-74.9547,81.99,79,99,24.11,CO,2021-12-05 02:00:54,overcast clouds
162,Ust-Koksa,50.2696,85.6108,8.17,85,63,1.32,RU,2021-12-05 02:00:55,broken clouds
163,Tutoia,-2.7619,-42.2744,78.55,89,100,9.62,BR,2021-12-05 02:00:55,overcast clouds
164,Baillif,16.0202,-61.7463,74.7,74,41,13.11,GP,2021-12-05 02:00:56,scattered clouds
165,Ambon,-3.6954,128.1814,86.14,70,20,6.91,ID,2021-12-05 02:00:56,few clouds
166,Skala,50.2305,19.8536,34.43,71,75,4.61,PL,2021-12-05 02:00:57,broken clouds
167,Bredasdorp,-34.5322,20.0403,60.28,95,100,18.63,ZA,2021-12-05 02:00:57,heavy intensity rain
168,Victoria,22.2855,114.1577,67.24,50,78,1.01,HK,2021-12-05 02:00:02,broken clouds
169,Naberera,-4.2,36.9333,63.18,85,96,6.33,TZ,2021-12-05 02:00:58,overcast clouds
170,Mandeville,18.0417,-77.5071,67.33,93,100,2.46,JM,2021-12-05 02:00:59,overcast clouds
171,Muslyumovo,55.3033,53.1947,30.31,85,100,10.65,RU,2021-12-05 02:00:59,overcast clouds
172,Aguimes,27.9054,-15.4461,62.65,59,20,12.66,ES,2021-12-05 02:00:59,few clouds
173,Narsaq,60.9167,-46.05,37.62,90,100,11.72,GL,2021-12-05 02:01:00,light rain
174,Thinadhoo,0.5333,72.9333,81.95,80,31,16.46,MV,2021-12-05 02:00:31,scattered clouds
175,Bereda,43.2686,-7.5406,47.95,100,96,6.17,ES,2021-12-05 02:01:01,overcast clouds
176,Vincennes,48.85,2.4333,40.01,90,90,4.0,FR,2021-12-05 02:02:01,overcast clouds
177,Nantucket,41.2835,-70.0995,43.97,65,100,15.21,US,2021-12-05 01:57:13,overcast clouds
178,Hokitika,-42.7167,170.9667,62.13,98,100,17.65,NZ,2021-12-05 02:02:02,light rain
179,Aykhal,66.0,111.5,-25.83,100,100,6.08,RU,2021-12-05 02:02:02,overcast clouds
180,Sesimbra,38.4445,-9.1015,55.31,87,3,11.32,PT,2021-12-05 02:02:02,clear sky
181,Jamestown,42.097,-79.2353,36.09,79,40,3.0,US,2021-12-05 01:57:07,scattered clouds
182,Nome,64.5011,-165.4064,12.27,85,90,14.97,US,2021-12-05 02:02:03,mist
183,Kvitok,56.0724,98.4813,19.83,85,100,12.41,RU,2021-12-05 02:02:03,overcast clouds
184,Harper,4.375,-7.7169,79.09,84,21,6.11,LR,2021-12-05 02:02:04,few clouds
185,Katsuura,35.1333,140.3,54.19,59,52,13.67,JP,2021-12-05 02:02:04,broken clouds
186,Beitbridge,-22.2167,30.0,77.45,54,10,13.73,ZW,2021-12-05 02:02:04,clear sky
187,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.46,99,89,0.87,BR,2021-12-05 02:00:17,overcast clouds
188,Esna,25.2934,32.554,62.8,25,33,3.98,EG,2021-12-05 02:02:05,scattered clouds
189,Odweyne,9.4092,45.064,59.63,73,0,10.45,SO,2021-12-05 02:02:06,clear sky
190,Karasjok,69.4719,25.5112,5.11,100,85,5.66,NO,2021-12-05 02:02:06,overcast clouds
191,Tuatapere,-46.1333,167.6833,51.82,90,100,6.53,NZ,2021-12-05 02:02:07,moderate rain
192,Mitsamiouli,-11.3847,43.2844,81.37,77,62,15.79,KM,2021-12-05 02:02:07,broken clouds
193,Meulaboh,4.1363,96.1285,80.94,76,39,3.51,ID,2021-12-05 02:02:08,scattered clouds
194,Abha,18.2164,42.5053,51.24,49,0,1.36,SA,2021-12-05 02:02:08,clear sky
195,Lorengau,-2.0226,147.2712,81.86,85,100,18.95,PG,2021-12-05 02:02:08,heavy intensity rain
196,Komsomolskiy,40.4272,71.7189,38.62,81,99,4.61,UZ,2021-12-05 02:02:09,mist
197,Barguzin,53.6167,109.6167,25.25,86,94,11.95,RU,2021-12-05 02:02:09,light snow
198,Chukhloma,58.7525,42.6825,-0.33,97,42,3.65,RU,2021-12-05 02:02:10,scattered clouds
199,Tasiilaq,65.6145,-37.6368,26.76,88,100,48.5,GL,2021-12-05 02:02:10,snow
200,Palmer,42.1584,-72.3287,39.85,66,75,0.0,US,2021-12-05 02:02:10,broken clouds
201,Haines Junction,60.7522,-137.5108,-23.62,100,11,1.5,CA,2021-12-05 02:02:11,few clouds
202,Usinsk,65.9939,57.5281,-0.89,78,100,3.96,RU,2021-12-05 02:02:11,overcast clouds
203,Dingle,10.9995,122.6711,79.21,78,74,14.83,PH,2021-12-05 02:02:12,broken clouds
204,Poya,-21.35,165.15,84.69,62,35,6.58,NC,2021-12-05 02:02:12,scattered clouds
205,Port Augusta,-32.5,137.7667,79.7,26,100,1.66,AU,2021-12-05 02:02:12,overcast clouds
206,Wadena,46.4425,-95.1361,26.85,80,90,3.44,US,2021-12-05 01:57:14,overcast clouds
207,Rongcheng,30.634,117.8517,54.46,44,0,1.45,CN,2021-12-05 02:02:13,clear sky
208,Saldanha,-33.0117,17.9442,60.19,94,100,10.38,ZA,2021-12-05 02:02:13,light rain
209,Zhicheng,30.2956,111.5047,56.52,51,0,1.57,CN,2021-12-05 02:02:13,clear sky
210,Upata,8.0086,-62.3989,70.39,89,22,3.89,VE,2021-12-05 02:02:14,few clouds
211,Barkot,30.8167,78.2,50.56,47,62,4.16,IN,2021-12-05 02:02:14,broken clouds
212,Saskylakh,71.9167,114.0833,-18.06,98,100,8.3,RU,2021-12-05 02:02:14,overcast clouds
213,Thanatpin,17.2119,96.3033,73.58,76,29,4.74,MM,2021-12-05 02:02:15,scattered clouds
214,Calama,-22.4667,-68.9333,59.49,21,0,6.91,CL,2021-12-05 02:02:15,clear sky
215,Mbini,1.574,9.6134,79.29,86,100,4.07,GQ,2021-12-05 02:02:16,light rain
216,Banda Aceh,5.5577,95.3222,81.12,79,40,9.64,ID,2021-12-05 02:02:16,scattered clouds
217,Krasnyy Yar,46.5331,48.3456,44.53,90,100,10.94,RU,2021-12-05 02:02:16,overcast clouds
218,Moose Factory,51.2585,-80.6094,5.83,93,98,6.69,CA,2021-12-05 02:02:17,overcast clouds
219,Naze,28.3667,129.4833,60.37,62,90,11.79,JP,2021-12-05 02:02:17,overcast clouds
220,Kamaishi,39.2667,141.8833,40.28,51,26,1.41,JP,2021-12-05 02:02:17,scattered clouds
221,Mangrol,21.1167,70.1167,73.08,67,7,10.16,IN,2021-12-05 02:03:18,clear sky
222,Saint-Louis,16.3333,-15.0,79.32,14,100,10.49,SN,2021-12-05 02:02:10,overcast clouds
223,Mount Isa,-20.7333,139.5,100.17,19,40,11.5,AU,2021-12-05 02:03:19,scattered clouds
224,Nuuk,64.1835,-51.7216,43.41,39,75,10.36,GL,2021-12-05 02:03:19,broken clouds
225,Camacha,33.0833,-16.3333,62.02,55,40,17.27,PT,2021-12-05 02:03:19,scattered clouds
226,Santiago Del Estero,-27.7951,-64.2615,70.81,47,100,4.65,AR,2021-12-05 02:01:41,overcast clouds
227,Catalina,32.5056,-110.9211,66.51,32,93,1.01,US,2021-12-05 02:03:20,overcast clouds
228,Udachnyy,66.4167,112.4,-24.65,92,98,20.27,RU,2021-12-05 02:03:20,overcast clouds
229,Tura,25.5198,90.2201,68.18,73,99,1.97,IN,2021-12-05 02:03:21,overcast clouds
230,Yar-Sale,66.8333,70.8333,-21.21,98,15,4.97,RU,2021-12-05 02:03:21,few clouds
231,Gander,48.9682,-54.5906,24.17,68,99,11.01,CA,2021-12-05 02:03:22,light snow
232,Derzhavinsk,51.1,66.3167,15.69,87,100,4.54,KZ,2021-12-05 02:03:22,overcast clouds
233,Morondava,-20.2833,44.2833,78.62,83,2,3.51,MG,2021-12-05 02:03:23,clear sky
234,Sinnamary,5.3833,-52.95,77.18,89,100,8.63,GF,2021-12-05 02:03:23,light rain
235,Kenai,60.5544,-151.2583,8.02,88,90,4.61,US,2021-12-05 02:03:00,light snow
236,Antalaha,-14.9003,50.2788,72.88,89,19,5.73,MG,2021-12-05 02:03:24,few clouds
237,Batagay,67.6333,134.6333,-23.62,97,100,3.18,RU,2021-12-05 02:03:24,overcast clouds
238,Lavrentiya,65.5833,-171.0,26.29,95,100,17.31,RU,2021-12-05 02:03:25,snow
239,Bandarbeyla,9.4942,50.8122,73.51,73,97,12.62,SO,2021-12-05 02:03:26,overcast clouds
240,Orahovac,42.3994,20.6547,35.92,90,46,3.18,XK,2021-12-05 02:03:26,scattered clouds
241,Nanortalik,60.1432,-45.2371,33.75,99,100,20.02,GL,2021-12-05 02:03:27,moderate rain
242,Anadyr,64.75,177.4833,-0.67,97,100,19.82,RU,2021-12-05 02:03:27,snow
243,Catuday,16.2923,119.8062,77.92,59,67,13.29,PH,2021-12-05 02:03:28,broken clouds
244,Klaksvik,62.2266,-6.589,36.52,56,100,19.71,FO,2021-12-05 02:03:28,overcast clouds
245,Huilong,31.8111,121.655,58.98,54,3,6.91,CN,2021-12-05 02:03:29,clear sky
246,Susanville,40.4163,-120.653,39.04,75,1,0.0,US,2021-12-05 02:03:29,clear sky
247,Biak,-0.9131,122.8766,77.81,84,100,3.78,ID,2021-12-05 02:03:29,overcast clouds
248,Ponta Do Sol,32.6667,-17.1,65.03,68,88,8.99,PT,2021-12-05 02:03:30,overcast clouds
